EXP1perfEFB,EXP1perfDFB,EXP1perfENFB,EXP1perfDNFB,EXP2perfEFB,EXP2perfDFB,EXP2perfENFB,EXP2perfDNFB,EXP3perfEFB,EXP3perfDFB,EXP3perfENFB,EXP3perfDNFB
0.958333333,0.724637681,0.916666667,0.690140845,0.755555556,0.7,0.833333333,0.622222222,0.844444444,0.588888889,0.887640449,0.647727273
0.943661972,0.76056338,0.972222222,0.602941176,0.688888889,0.611111111,0.855555556,0.588888889,0.988764045,0.764044944,1,0.735632184
0.957746479,0.777777778,0.929577465,0.739130435,0.933333333,0.744444444,0.933333333,0.755555556,0.808988764,0.696629213,0.822222222,0.640449438
0.788732394,0.608695652,0.875,0.694444444,0.911111111,0.744444444,0.855555556,0.733333333,0.617977528,0.539325843,0.617977528,0.602272727
0.871428571,0.633802817,0.930555556,0.8,0.822222222,0.588888889,0.844444444,0.688888889,0.977777778,0.808988764,0.965116279,0.752808989
0.830985915,0.647887324,0.763888889,0.666666667,0.944444444,0.777777778,0.922222222,0.755555556,0.898876404,0.775280899,0.933333333,0.775280899
0.916666667,0.614285714,0.816901408,0.757142857,0.844444444,0.677777778,0.833333333,0.677777778,0.922222222,0.688888889,0.921348315,0.752808989
0.704225352,0.638888889,0.76056338,0.535211268,0.766666667,0.577777778,0.744444444,0.744444444,0.887640449,0.670454545,0.966666667,0.674157303
0.8,0.763888889,0.875,0.608695652,0.866666667,0.7,0.8,0.633333333,0.943181818,0.781609195,0.95505618,0.738636364
0.714285714,0.708333333,0.805555556,0.557142857,0.977777778,0.733333333,0.955555556,0.688888889,0.693181818,0.544444444,0.766666667,0.555555556
0.746478873,0.805555556,0.84057971,0.617647059,0.722222222,0.688888889,0.666666667,0.566666667,0.95505618,0.766666667,1,0.785714286
0.777777778,0.529411765,0.805555556,0.638888889,0.8,0.622222222,0.766666667,0.644444444,0.898876404,0.730337079,0.853932584,0.7
0.916666667,0.728571429,0.869565217,0.666666667,0.866666667,0.722222222,0.922222222,0.755555556,0.820224719,0.674418605,0.870588235,0.688888889
0.819444444,0.718309859,0.704225352,0.569444444,0.955555556,0.777777778,0.933333333,0.766666667,0.829545455,0.620689655,0.886363636,0.707865169
0.875,0.704225352,0.942028986,0.694444444,0.966666667,0.822222222,0.944444444,0.766666667,0.931818182,0.829545455,0.93258427,0.75
0.901408451,0.7,0.845070423,0.76056338,0.9,0.677777778,0.911111111,0.744444444,0.788888889,0.629213483,0.76744186,0.632183908
0.873239437,0.685714286,0.861111111,0.666666667,0.855555556,0.788888889,0.922222222,0.8,0.921348315,0.655555556,0.908045977,0.707865169
0.791666667,0.591549296,0.814285714,0.542857143,0.955555556,0.844444444,0.977777778,0.744444444,0.797752809,0.633333333,0.786516854,0.644444444
0.638888889,0.594202899,0.657142857,0.638888889,0.888888889,0.633333333,0.844444444,0.644444444,0.977777778,0.7,0.943820225,0.818181818
0.914285714,0.676056338,0.888888889,0.680555556,0.877777778,0.577777778,0.833333333,0.622222222,0.775280899,0.674157303,0.755555556,0.611111111
0.971830986,0.816901408,0.971428571,0.802816901,0.8,0.644444444,0.777777778,0.533333333,0.977777778,0.866666667,1,0.752808989
0.875,0.671428571,0.819444444,0.557142857,0.844444444,0.666666667,0.788888889,0.655555556,0.775280899,0.644444444,0.844444444,0.595505618
0.958333333,0.597222222,0.929577465,0.714285714,0.788888889,0.555555556,0.811111111,0.588888889,0.865168539,0.573033708,0.816091954,0.6
0.842857143,0.676056338,0.888888889,0.690140845,0.966666667,0.744444444,0.977777778,0.766666667,0.898876404,0.629213483,0.829545455,0.643678161
0.85915493,0.563380282,0.85915493,0.671428571,0.8,0.622222222,0.766666667,0.588888889,1,0.674157303,1,0.678571429
0.777777778,0.582089552,0.788732394,0.685714286,0.933333333,0.8,0.888888889,0.688888889,0.966666667,0.811111111,1,0.741573034
0.861111111,0.588235294,0.930555556,0.666666667,0.888888889,0.655555556,0.866666667,0.8,0.93258427,0.722222222,0.888888889,0.775280899
0.884057971,0.608695652,0.85915493,0.611111111,0.844444444,0.588888889,0.9,0.8,0.943181818,0.685393258,0.944444444,0.651162791
0.902777778,0.7,0.930555556,0.633802817,0.944444444,0.688888889,0.866666667,0.822222222,0.643678161,0.522222222,0.711111111,0.647727273
,,,,,,,,0.827586207,0.711111111,0.730337079,0.677777778
,,,,,,,,0.833333333,0.701149425,0.922222222,0.752808989
,,,,,,,,0.865168539,0.588235294,0.842696629,0.704545455
,,,,,,,,0.988888889,0.712643678,0.977777778,0.76744186
,,,,,,,,0.865168539,0.744444444,0.853932584,0.666666667
,,,,,,,,0.944444444,0.781609195,0.954545455,0.685393258
,,,,,,,,0.95505618,0.715909091,0.842696629,0.738636364
,,,,,,,,0.9,0.722222222,0.91011236,0.688888889
,,,,,,,,0.888888889,0.662921348,0.887640449,0.755555556
,,,,,,,,0.775280899,0.566666667,0.764044944,0.7
,,,,,,,,0.707865169,0.534090909,0.666666667,0.636363636
,,,,,,,,0.898876404,0.662921348,0.863636364,0.693181818
,,,,,,,,0.744444444,0.677777778,0.797752809,0.693181818
,,,,,,,,0.8,0.677777778,0.955555556,0.702380952
,,,,,,,,0.640449438,0.595505618,0.523255814,0.534090909
,,,,,,,,0.943820225,0.747126437,0.954545455,0.76744186
,,,,,,,,0.9,0.534090909,0.908045977,0.724137931
